2021-04-01	FOF210401022167	1520 LAKESIDE DR
2021-04-01	FOF210401022170	NB 23RD ONRP AV & NB I880
2021-04-01	FOF210401022198	34TH ST & TELEGRAPH AV
2021-04-02	FOF210402022445	30TH ST & TELEGRAPH AV
2021-04-02	FOF210402022566	5TH ST & JACKSON ST
2021-04-02	FOF210402022576	7TH ST & CASTRO ST
2021-04-02	FOF210402022582	6TH ST & WEBSTER ST
2021-04-02	FOF210402022599	22ND AV & LIVINGSTON ST
2021-04-03	FOF210403022660	3600 BROADWAY
2021-04-04	FOF210404022935	E 12TH ST & 23RD AV
2021-04-04	FOF210404023017	E 12TH ST & 26TH AV
2021-04-04	FOF210404023033	10TH ST & 2ND AV
2021-04-05	FOF210405023127	ADELINE ST & MIDDLE HARBOR RD
2021-04-05	FOF210405023161	42ND ST & MARTIN LUTHER KING JR WY
2021-04-05	FOF210405023304	EB 27TH ONRP ST & EB S24
2021-04-05	FOF210405023331	96TH AV & INTERNATIONAL BLVD
2021-04-05	FOF210405023363	34TH ST & TELEGRAPH AV
2021-04-06	FOF210406023417	E 12TH ST & 26TH AV
2021-04-06	FOF210406023430	E 12TH ST & 26TH AV
2021-04-06	FOF210406023479	11TH ST & BRUSH ST
2021-04-07	FOF210407023620	E 12TH ST & 23RD AV
2021-04-08	FOF210408024074	7TH ST & BRUSH ST
2021-04-09	FOF210409024129	23RD ST & BRUSH ST
2021-04-09	FOF210409024161	34TH ST & WOOD ST
2021-04-09	FOF210409024290	BROADWAY & W MACARTHUR BLVD
2021-04-10	FOF210410024573	E 12TH ST & 21ST AV
2021-04-11	FOF210411024619	CARY AV & EDES AV
2021-04-11	FOF210411024708	E 12TH ST & 1ST AV
2021-04-11	FOF210411024739	34TH ST & TELEGRAPH AV
2021-04-11	FOF210411024741	BROADWAY & EB I580
2021-04-12	FOF210412024864	NORTHGATE AV & SYCAMORE ST
2021-04-12	FOF210412024940	23RD ST & MARTIN LUTHER KING JR WY
2021-04-12	FOF210412025011	ALAMEDA AV & FRUITVALE AV
2021-04-13	FOF210413025247	3612 WEBSTER ST
2021-04-13	FOF210413025252	6TH ST & WEBSTER ST
2021-04-15	FOF210415025678	EB I580 & MARKET ST
2021-04-15	FOF210415025680	WB HARRISON ONRP ST & EB I580
2021-04-15	FOF210415025689	BROADWAY & W MACARTHUR BLVD
2021-04-16	FOF210416025792	BROADWAY & EB I580
2021-04-17	FOF210417026125	6TH ST & MARKET ST
2021-04-17	FOF210417026130	34TH ST & ANDOVER ST
2021-04-18	FOF210418026527	23RD AV & E 7TH ST
2021-04-19	FOF210419026620	7TH ST & ADELINE ST
2021-04-19	FOF210419026690	7TH ST & BRUSH ST
