"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,E 12TH ST&22ND AV,"May, 17 2020",FOF200517033953
ENCAMPMENT /OUTSIDE,WB I580 CONN&EB I80,"May, 18 2020",FOF200518034231
ENCAMPMENT /OUTSIDE,4458 MACARTHUR BLVD,"May, 18 2020",FOF200518034262
ENCAMPMENT /OUTSIDE,3775 ALAMEDA AV,"May, 18 2020",FOF200518034291
ENCAMPMENT /OUTSIDE,HIGH ST&MACARTHUR BLVD,"May, 18 2020",FOF200518034292
ENCAMPMENT /OUTSIDE,3775 ALAMEDA AV,"May, 18 2020",FOF200518034297
ENCAMPMENT /OUTSIDE,6TH ST&MARKET ST,"May, 20 2020",FOF200520034615
ENCAMPMENT /OUTSIDE,HANOVER AV&LAKESHORE AV,"May, 20 2020",FOF200520034616
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"May, 21 2020",FOF200521034868
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"May, 23 2020",FOF200523035327
ENCAMPMENT /OUTSIDE,34TH ST&ELM ST,"May, 24 2020",FOF200524035648
ENCAMPMENT /OUTSIDE,2ND AV&INTERNATIONAL BLVD,"May, 25 2020",FOF200525035809
ENCAMPMENT /OUTSIDE,3RD ST&FILBERT ST,"May, 25 2020",FOF200525035930
ENCAMPMENT /OUTSIDE,860 77TH AV,"May, 26 2020",FOF200526036129
ENCAMPMENT /OUTSIDE,HANOVER AV&LAKESHORE AV,"May, 26 2020",FOF200526036298
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"May, 30 2020",FOF200530036996
ENCAMPMENT /OUTSIDE,100 12TH ST,"May, 31 2020",FOF200531037278
ENCAMPMENT /OUTSIDE,LAKESIDE DR&OAK ST,"June, 1 2020",FOF200601037638
ENCAMPMENT /OUTSIDE,9TH ST&FALLON ST,"June, 3 2020",FOF200603038062
ENCAMPMENT /OUTSIDE,900 75TH AV,"June, 4 2020",FOF200604038555
ENCAMPMENT /OUTSIDE,RANDWICK AV&RICHMOND BLVD,"June, 6 2020",FOF200606038838
ENCAMPMENT /OUTSIDE,OAKPORT ST&ZHONE WY,"June, 8 2020",FOF200608039387
ENCAMPMENT /OUTSIDE,NB I880 CONN&WOOD ST,"June, 8 2020",FOF200608039487
ENCAMPMENT /OUTSIDE,1600 E 12TH ST,"June, 9 2020",FOF200609039546
ENCAMPMENT /OUTSIDE,2200 WILLOW ST,"June, 9 2020",FOF200609039686
ENCAMPMENT /OUTSIDE,6TH ST&MARKET ST,"June, 9 2020",FOF200609039738
