"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,12TH ST&LAKE MERRITT BLVD,"March, 31 2021",FOF210331021995
ENCAMPMENT /OUTSIDE,36TH ST&TELEGRAPH AV,"March, 31 2021",FOF210331022011
ENCAMPMENT /OUTSIDE,ALAMEDA AV&HIGH ST,"March, 31 2021",FOF210331022119
ENCAMPMENT /OUTSIDE,16TH ST&PULLMAN WY,"April, 1 2021",FOF210401022132
ENCAMPMENT /OUTSIDE,1026 PINE ST,"April, 1 2021",FOF210401022160
ENCAMPMENT /OUTSIDE,1520 LAKESIDE DR,"April, 1 2021",FOF210401022167
ENCAMPMENT /OUTSIDE,NB 23RD ONRP AV&NB I880,"April, 1 2021",FOF210401022170
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"April, 1 2021",FOF210401022198
ENCAMPMENT /OUTSIDE,30TH ST&TELEGRAPH AV,"April, 2 2021",FOF210402022445
ENCAMPMENT /OUTSIDE,5TH ST&JACKSON ST,"April, 2 2021",FOF210402022566
ENCAMPMENT /OUTSIDE,7TH ST&CASTRO ST,"April, 2 2021",FOF210402022576
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"April, 2 2021",FOF210402022582
ENCAMPMENT /OUTSIDE,22ND AV&LIVINGSTON ST,"April, 2 2021",FOF210402022599
ENCAMPMENT /OUTSIDE,3600 BROADWAY,"April, 3 2021",FOF210403022660
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"April, 4 2021",FOF210404022935
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"April, 4 2021",FOF210404023017
ENCAMPMENT /OUTSIDE,10TH ST&2ND AV,"April, 4 2021",FOF210404023033
ENCAMPMENT /OUTSIDE,ADELINE ST&MIDDLE HARBOR RD,"April, 5 2021",FOF210405023127
ENCAMPMENT /OUTSIDE,42ND ST&MARTIN LUTHER KING JR WY,"April, 5 2021",FOF210405023161
ENCAMPMENT /OUTSIDE,EB 27TH ONRP ST&EB S24,"April, 5 2021",FOF210405023304
ENCAMPMENT /OUTSIDE,96TH AV&INTERNATIONAL BLVD,"April, 5 2021",FOF210405023331
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"April, 5 2021",FOF210405023363
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"April, 6 2021",FOF210406023417
ENCAMPMENT /OUTSIDE,E 12TH ST&26TH AV,"April, 6 2021",FOF210406023430
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"April, 6 2021",FOF210406023479
ENCAMPMENT /OUTSIDE,E 12TH ST&23RD AV,"April, 7 2021",FOF210407023620
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"April, 8 2021",FOF210408024074
ENCAMPMENT /OUTSIDE,23RD ST&BRUSH ST,"April, 9 2021",FOF210409024129
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"April, 9 2021",FOF210409024161
ENCAMPMENT /OUTSIDE,BROADWAY&W MACARTHUR BLVD,"April, 9 2021",FOF210409024290
ENCAMPMENT /OUTSIDE,E 12TH ST&21ST AV,"April, 10 2021",FOF210410024573
ENCAMPMENT /OUTSIDE,CARY AV&EDES AV,"April, 11 2021",FOF210411024619
ENCAMPMENT /OUTSIDE,E 12TH ST&1ST AV,"April, 11 2021",FOF210411024708
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"April, 11 2021",FOF210411024739
ENCAMPMENT /OUTSIDE,BROADWAY&EB I580,"April, 11 2021",FOF210411024741
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"April, 12 2021",FOF210412024864
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"April, 12 2021",FOF210412024940
ENCAMPMENT /OUTSIDE,ALAMEDA AV&FRUITVALE AV,"April, 12 2021",FOF210412025011
ENCAMPMENT /OUTSIDE,3612 WEBSTER ST,"April, 13 2021",FOF210413025247
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"April, 13 2021",FOF210413025252
ENCAMPMENT /OUTSIDE,EB I580&MARKET ST,"April, 15 2021",FOF210415025678
ENCAMPMENT /OUTSIDE,WB HARRISON ONRP ST&EB I580,"April, 15 2021",FOF210415025680
ENCAMPMENT /OUTSIDE,BROADWAY&W MACARTHUR BLVD,"April, 15 2021",FOF210415025689
ENCAMPMENT /OUTSIDE,BROADWAY&EB I580,"April, 16 2021",FOF210416025792
ENCAMPMENT /OUTSIDE,6TH ST&MARKET ST,"April, 17 2021",FOF210417026125
ENCAMPMENT /OUTSIDE,34TH ST&ANDOVER ST,"April, 17 2021",FOF210417026130
ENCAMPMENT /OUTSIDE,23RD AV&E 7TH ST,"April, 18 2021",FOF210418026527
ENCAMPMENT /OUTSIDE,7TH ST&ADELINE ST,"April, 19 2021",FOF210419026620
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"April, 19 2021",FOF210419026690
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Total Events:,,
